group	label
person	x0_sex
person	x0_age
person	x0_ager
person	x0_birthd
person	x0_birthm
person	x0_birthy
person	x0_birthpc
person	x0_residpc
age	x0_age
age	x0_ager
birthdate	x0_birthd
birthdate	x0_birthm
birthdate	x0_birthy
participation	x0_examd
participation	x0_examm
participation	x0_examy
participation	x0_workf
participation	x0_note
participation	x0_notesaliva
participation	x0_noteint
participation	x0_noteself
participation	x0_notespiro
examdate	x0_examd
examdate	x0_examm
examdate	x0_examy
notes	x0_note
notes	x0_notesaliva
notes	x0_noteint
notes	x0_noteself
notes	x0_notespiro
